hotel_name,hotel_location
호텔 토마스 명동 ,서울 중구 세종대로16길 26
데이즈 호텔 바이 윈덤 서울 명동 ,서울특별시 중구 퇴계로 107
모헤닉 호텔 서울 명동 ,서울 중구 퇴계로 115
헤르츠 호텔 ,서울 종로구 돈화문로11길 44
사보이 호텔 서울 ,서울 중구 명동8나길 10
한글 게스트하우스 ,서울 용산구 청파로45길 2-5
센트럴 관광 호텔 ,서울 종로구 청계천로 137
호텔 스카이파크 명동 1호점 ,서울 중구 명동8나길 15
르몽호텔 ,서울 종로구 종로16길 28
나인트리 호텔 명동 ,서울 중구 명동10길 51
에이큐브 호텔 ,서울 중구 동호로35길 5
호텔 스카이파크 명동 3호점 ,서울특별시 중구 퇴계로 139
호텔 코지 명동  ,서울 중구 남대문시장길 61
코업시티호텔 오류역 ,서울 구로구 경인로20가길 19
호텔 비즈 종로 인사동 ,서울 종로구 삼일대로26길 7
호텔 뉴 오리엔탈 명동 ,서울특별시 중구 퇴계로14길 1
트레블로지 명동 시티홀 호텔 ,서울 중구 세종대로16길 22
이비스 앰배서더 서울 명동 ,서울 중구 남대문로 78
호텔 파크 힐 명동 ,서울특별시 중구 퇴계로12길 39-8
월 호텔 ,서울특별시 중구 퇴계로12길 39-8
영등포 VIP 호텔 ,서울 영등포구 경인로114나길 6
목시 서울 명동 ,서울특별시 중구 명동8나길 38
갤럭시 호텔 ,서울특별시 중구 명동8나길 38
올리브 호텔 ,서울 종로구 난계로29길 56
뉴국제 호텔 ,서울특별시 중구 세종대로22길 12
호텔 스타 ,서울특별시 중구 세종대로22길 12
리츠 서울 호텔 ,서울 종로구 돈화문로9길 29
메트로 호텔 명동 ,서울특별시 노원구 상계6.7동 702-1
F 호텔 영등포 ,서울 영등포구 경인로108길 8
목시 서울 인사동 ,서울 종로구 돈화문로11길 37
충무로 멀린호텔 ,서울 중구 퇴계로 245
심플스테이 종로 ,서울 종로구 수표로26길 11
시그니처 호텔 ,서울 동대문구 장한로21길 8
메이커스X이쁘다 호텔 ,서울 종로구 돈화문로11길 33
호텔 라바 서초 ,서울 서초구 효령로53길 40
새턴 호텔 ,서울 성동구 자동차시장1길 29
호텔 S 신촌 ,서울 마포구 서강로 128
타오 호텔 ,서울 은평구 통일로 863-24
호텔 윈저 ,서울특별시 금천구 독산동 1008-10
에이퍼스트호텔 명동 ,서울특별시 금천구 독산동 1008-10
,서울특별시 중구 다동 130
